Save Your Soul,Joey Stylez
Tennessee Whiskey,Chris Stapleton
Judith,A Perfect Circle'
On the River,Whiskey Myers
Tumbleweed,Puscifer
Ashokan Farewell,Jay Ungar and Molly Mason
Trouble About My Soul,The Trishas
Thunder Kiss ‘65,White Zombie'
Song 2,Blur
Bad News,Whitey Morgan and the 78’s
Goodbye Yesterday,Shaver
Howlin at the Moon,Bad Flamingo
Got Me in a Bind,Rusty Tinder
The Humbling River,Puscifer
Sunrise,Ryan Bingham
After Hours,Brad Hatfield
Frogman,Whiskey Myers
Keep the Wolves Away,Uncle Lucius
Stone,Whiskey Myers
"Bar, Guitar and Honky Tonk Crowd",Whiskey Myers
Have A Cava,Jason Rebello
I Wish I Was,Maren Morris
All Choked Up Again,Ryan Bingham
Morning,William Wild
Sunrise,Ryan Bingham
Claudia’s Theme (Version Eight),Lennie Niehaus and Clint Eastwood
Uneasy Moments,Jason Rebello
Other Waltz,Jason Rebello
What Was Lost,Jason Rebello
Forgiveness Don’t Grow on Trees,Bad Flamingo
Little Drummer Boy,Emmylou Harris
Without Your Love,Chris Stapleton
Wolves,Ryan Bingham
Green Valley,Puscifer
"Baby I Lost My Way, (But I’m Going Home)",Nathaniel Rateliff & The Night Sweats
Broken Window Serenade,Whiskey Myers
Grand Canyon,Puscifer
Late Night Mellow,Jason Rebello
I’d Die Without You,P.M. Dawn
Lord Knows I Tried,Bad Flamingo
Me and the Whiskey,Whitey Morgan and the 78’s
Drinkin’ Problem,Midland
Mercy Now,Mary Gauthier
What Comes Naturally,Blackberry Smoke
My Diamond Is Too Rough,Ryan Bingham
Conquer,Kind
Ain’t Much Left of Me,Blackberry Smoke
Mud,Whiskey Myers
Long Hot Summer Day,Turnpike Troubadours
Workin’ Overtime,Lainey Wilson
Breakdown in G Major,Eliot Bronson
Bread & Water,Ryan Bingham
Here & Gone,Mississippi Twilight
Montana Melody,LeGrande Harvey
Fire,Bad Flamingo
Up to No Good Livin’,Chris Stapleton
Train Rollin’,Blackberry Smoke
Whiskey and You,Chris Stapleton
Johnny Cash (Man in Black),Badd Wolf
Last of My Kind,Jason Isbell and the 400 Unit
Nose on the Grindstone (Our Vinyl Sessions),"Tyler Childers, OurVinyl"
S.O.B.,Nathaniel Rateliff & The Night Sweats
Never Be Ourselves,Savannah Conley
Reaper,"Wild The Coyote, Badd Wolf"
Good One Comin’ on,Blackberry Smoke
Scare the Devil Outta You (Bonus Track),Blackberry Smoke
Welcome ‘Round Here,The Marcus King Band
Shakin’ Hands With the Holy Ghost,Blackberry Smoke
Drank Like Hank,Brothers Osborne
Prayers,Pete Sands
Pearl Snaps,Jason Boland & The Stragglers
Start To Go,Lukas Nelson & The Promise of the Real
Deep Down in the South,Whiskey Myers
Waiting for the Thunder,Blackberry Smoke
Headstone,Whiskey Myers
Take This Heart of Gold,Mandolin Orange
All I Know,William Prince
The Killer,"Kevin Costner & Modern West, Jaida Dreyer"
Outlaw Shit,"Waylon Jennings, The .357’s"
I Hurt Too,Katie Herzig
Lucky Seven,Blackberry Smoke
Slow Burn,Kacey Musgraves
